academic_rank,thai_db_name,scopus_name,thai_affiliation,eng_affiliation,field,citation_count,doc_count,cited_by_count,h_index,co_author_count,highest_edu,employment_type
รองศาสตราจารย์พิเศษ,ดร. ปิยะพงศ์ เนียมทรัพย์,Piyapong Niamsup,มหาวิทยาลัยเชียงใหม่,Chiang Mai University,คณิตศาสตร์,798.0,88.0,641.0,17.0,35.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. ปิยะภัทร เดชพระธรรม,Piyapat Dajpratham,มหาวิทยาลัยมหิดล,Mahidol University,เวชศาสตร์ฟื้นฟู,284.0,20.0,276.0,8.0,58.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. ปิยะรัตน์ นิลอัยยกา,,มหาวิทยาลัยอีสาน,Esan University,การผดุงครรภ์และการวางแผนครอบครัว,,,,,,ปริญญาเอก,อาจารย์มหาวิทยาลัยเอกชน
ศาสตราจารย์ ได้รับเงินประจำตำแหน่งสูงขึ้น,ดร. ปิยะรัตน์ โกวิทตรพงศ์,Piyarat Govitrapong,มหาวิทยาลัยมหิดล,Mahidol University,ประสาทวิทยาศาสตร์,4290.0,196.0,3120.0,36.0,297.0,ปริญญาเอก,ต่ออายุราชการ
รองศาสตราจารย์,ดร. ปิยะลักษณ์ พุทธวงศ์,Piyaluk Buddhawongsa,มหาวิทยาลัยเชียงใหม่,Chiang Mai University,เศรษฐศาสตร์,50.0,3.0,49.0,2.0,6.0,ปริญญาเอก,ข้าราชการ
ศาสตราจารย์,ดร. ปิยะวัติ บุญ-หลง,,มหาวิทยาลัยเชียงใหม่,Chiang Mai University,วิศวกรรมเครื่องกล,,,,,,ปริญญาเอก,ข้าราชการ
ศาสตราจารย์ ได้รับเงินประจำตำแหน่งสูงขึ้น,ดร. ปิยะสาร ประเสริฐธรรม,Piyasan Praserthdam,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,วิศวกรรมเคมี,6801.0,415.0,5270.0,42.0,428.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. ปิยากร หวังมหาพร,,มหาวิทยาลัยศรีปทุม,Sripatum University,รัฐประศาสนศาสตร์,,,,,,ปริญญาเอก,อาจารย์มหาวิทยาลัยเอกชน
รองศาสตราจารย์,ดร. ปิ่น จันจุฬา,Pin Chanjula,มหาวิทยาลัยสงขลานครินทร์,Prince of Songkla University,สัตวศาสตร์,257.0,35.0,198.0,9.0,40.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. ปิ่นมณี ขวัญเมือง,,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,King Mongkut's Institute of Technology Ladkrabang,อุตสาหกรรมเกษตร,,,,,,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. ปิ่นรัชฎ์ กาญจนัษฐิติ,,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,สถาปัตยกรรม,,,,1.0,,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. ปิ่นสุภา ปีติรักษ์สกุล,Pinsupha Petiraksakul,มหาวิทยาลัยรามคำแหง,Ramkhamhaeng University,เทคโนโลยีวัสดุ,30.0,4.0,29.0,4.0,13.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. ปุณณรัตน์ พิชญไพบูลย์,,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,ศิลปศึกษา,,,,,,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. ปุณศยา พัฒMrs.กูร,Punnzeyar Patthanangkoor,มหาวิทยาลัยธรรมศาสตร์,Thammasart University,-,8.0,2.0,8.0,1.0,3.0,ปริญญาเอก,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
ศาสตราจารย์,ดร. ปุระชัย เปี่ยมสมบูรณ์,,สถาบันบัณฑิตพัฒนบริหารศาสตร์,National Institute of Development Administration,รัฐประศาสนศาสตร์,,,,,,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. ปํญญา เลิศไกร,,มหาวิทยาลัยราชภัฏนครศรีธรรมราช,Nakhon Si Thammarat Rajabhat University,สังคมวิทยา,,,,,,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. ผกามาศ เจษฎ์พัฒนานนท์,,มหาวิทยาลัยสงขลานครินทร์,Prince of Songkla University,วิศวกรรมเคมี,,,,,,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. ผจงศิลป์ เพิงมาก,Pajongsil Perngmark,มหาวิทยาลัยสงขลานครินทร์,Prince of Songkla University,พยาบาลศาสตร์,62.0,5.0,49.0,4.0,5.0,ปริญญาเอก,ข้าราชการ
ศาสตราจารย์ ได้รับเงินประจำตำแหน่งสูงขึ้น,ดร. ผดุงศักดิ์ รัตนเดโช,Phadungsak Ratanadecho,มหาวิทยาลัยธรรมศาสตร์,Thammasart University,วิศวกรรมเครื่องกล,2152.0,125.0,1317.0,26.0,88.0,ปริญญาเอก,ข้าราชการ
ศาสตราจารย์,ดร. ผลิน ภู่จรูญ,,สถาบันบัณฑิตพัฒนบริหารศาสตร์,National Institute of Development Administration,บริหารธุรกิจ,,,,0.0,,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. ผ่องพรรณ ตรัยมงคลกูล,Pongpan Traimongkolkul,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University,ศึกษาศาสตร์เกษตร,5.0,13.0,5.0,1.0,20.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. ผ่องศรี ทิพวังโกศล,Pongsri Tippawangkosol,มหาวิทยาลัยเชียงใหม่,Chiang Mai University,-,858.0,35.0,676.0,17.0,80.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. ผ่องศรี วาณิชย์ศุภวงศ์,,มหาวิทยาลัยสงขลานครินทร์,Prince of Songkla University,การบริหารการศึกษา,,,,,,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. ผ่องศรี ศรีมรกต,,มหาวิทยาลัยมหิดล,Mahidol University,พยาบาลศาสตร์,,,,,,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พงศกร พรรณรัตนศิลป์,Pongsakorn Punrattanasin,มหาวิทยาลัยขอนแก่น,Khon Kaen University,วิศวกรรมโยธา(วิศกรรมปฐพี),65.0,14.0,58.0,4.0,15.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พงศธร สังข์เผือก,Pongtorn Sungpuag,มหาวิทยาลัยมหิดล,Mahidol University,โภชนศาสตร์,484.0,19.0,479.0,12.0,58.0,ปริญญาเอก,ต่ออายุราชการ
รองศาสตราจารย์,ดร. พงศธร อมรพิทักษ์สุข,Pongsaton Amornpitoksuk,มหาวิทยาลัยสงขลานครินทร์,Prince of Songkla University,เคมีอนินทรีย์,1657.0,70.0,1418.0,24.0,56.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พงศา พรชัยวิเศษกุล,Pongsa Pornchaiwiseskul,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,เศรษฐศาสตร์,3.0,8.0,3.0,1.0,12.0,ปริญญาเอก,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
รองศาสตราจารย์,ดร. พงศ์ หรดาล,,มหาวิทยาลัยราชภัฏพระนคร,Phranakhon Rajabhat University,การจัดการ,,,,0.0,,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พงศ์ชนัน เหลืองไพบูลย์,Pongchanun Luangpaiboon,มหาวิทยาลัยธรรมศาสตร์,Thammasart University,วิศวกรรมอุตสาหการ,107.0,42.0,94.0,4.0,20.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พงศ์ชัย กลิ่นหอม,Phongchai Klinhom,มหาวิทยาลัยราชภัฏกำแพงเพชร,Kamphaeng Phet Rajabhat University,เกษตรศาสตร์,15.0,3.0,13.0,2.0,8.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พงศ์ประเสริฐ หกสุวรรณ,,มหาวิทยาลัยทักษิณ,Thaksin University,เทคโนโลยีทางการศึกษา,,,,,,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พงศ์พล จันทรี,Pongpol Juntharee,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,King Mongkut's University of Technology North Bangkok,คณิตศาสตร์,0.0,3.0,0.0,0.0,4.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พงศ์พันธ์ แก้วตาทิพย์,Pongpan Kaewtatip,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,King Mongkut’s University of Technology Thonburi,วิศวกรรมเครื่องกล,96.0,21.0,88.0,5.0,35.0,ปริญญาเอก,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
ศาสตราจารย์,ดร. พงศ์ศักดิ์ รัตนชัยกุลโสพล,Pongsak Rattanachaikunsopon,มหาวิทยาลัยอุบลราชธานี,Ubon Ratchathani University,วิทยาศาสตร์ชีวภาพ,671.0,43.0,583.0,15.0,23.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พงศ์ศักดิ์ หนูพันธ์,Pongsak Noophan,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University,วิศวกรรมสิ่งเเวดล้อม,152.0,21.0,138.0,8.0,46.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พงศ์ศักดิ์ อุทัยสินธุเจริญ,Pongsak Utaisincharoen,มหาวิทยาลัยมหิดล,Mahidol University,จุลชีววิทยา,1415.0,54.0,1045.0,22.0,112.0,ปริญญาเอก,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
รองศาสตราจารย์,ดร. พงศ์เทพ อัครธนกุล,,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University,กีฏวิทยา,,,,1.0,,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พงษ์จันทร์ อยู่แพทย์,Pongjan Yoopat,มหาวิทยาลัยรังสิต,Rangsit University,สรีรวิทยา,73.0,10.0,72.0,4.0,13.0,ปริญญาเอก,อาจารย์มหาวิทยาลัยเอกชน
รองศาสตราจารย์,ดร. พงษ์ชาญ ณ ลำปาง,Pongchan Na-Lampang,มหาวิทยาลัยเทคโนโลยีสุรนารี,Suranaree University of Technology,สัตวศาสตร์,17.0,7.0,17.0,2.0,9.0,ปริญญาเอก,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
รองศาสตราจารย์,ดร. พงษ์นาถ นาถวรานันต์,Pongnart Nartvaranant,มหาวิทยาลัยราชภัฏนครปฐม,Nakhon Pathom Rajabhat University,เกษตรศาสตร์,43.0,11.0,43.0,3.0,6.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พงษ์พันธุ์ ฤกษ์ขุมทรัพย์,Pongpun Rerkkumsup,สถาบันเทคโนโลยีปทุมวัน,Pathumwan Institute of Technology,สาขาวิชาวิศวกรรมเครื่องกล,44.0,6.0,37.0,3.0,10.0,ปริญญาเอก,ข้าราชการ
ศาสตราจารย์ ได้รับเงินประจำตำแหน่งสูงขึ้น,ดร. พงษ์ศักดิ์ สหุนาฬุ,Pongsak Sahunalu,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University,วนวัฒนวิทยา,155.0,12.0,149.0,8.0,30.0,ปริญญาเอก,ข้าราชการ
ศาสตราจารย์,ดร. พงษ์ศักดิ์ อังกสิทธิ์,Pongsak Angkasith,มหาวิทยาลัยเชียงใหม่,Chiang Mai University,ส่งเสริมและเผยแพร่การเกษตร,0.0,2.0,0.0,0.0,3.0,ปริญญาเอก,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
รองศาสตราจารย์,ดร. พงษ์ศานต์ พันธุลาภ,,มหาวิทยาลัยรามคำแหง,Ramkhamhaeng University,การเมืองและความสัมพันธ์ระหว่างประเทศ,,,,,,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พงษ์เจต พรหมวงศ์,Pongjet Promvonge,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,King Mongkut's Institute of Technology Ladkrabang,วิศวกรรมเครื่องกล,5578.0,142.0,2223.0,48.0,58.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พงษ์แก้ว อุดมสมุทรหิรัญ,Pongkaew Udomsamuthirun,มหาวิทยาลัยศรีนครินทรวิโรฒ,Srinakharinwirot University,ฟิสิกส์,178.0,51.0,121.0,8.0,52.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พจนา ศรีบุรี,Pojana Sriburee,มหาวิทยาลัยเชียงใหม่,Chiang Mai University,จุลชีววิทยา,201.0,8.0,175.0,7.0,93.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พจนีย์ ขุมมงคล,Pojanie Khummongkol,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,King Mongkut’s University of Technology Thonburi,เทคโนโลยีพลังงานและสิ่งแวดล้อม,183.0,18.0,166.0,7.0,48.0,ปริญญาเอก,ข้าราชการ
ศาสตราจารย์,ดร. พจน์ ศรีบุญลือ,Pote Sriboonlue,มหาวิทยาลัยขอนแก่น,Khon Kaen University,ชีวเคมี,719.0,52.0,521.0,15.0,128.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พจวรรณ ลาวัณย์ประเสริฐ,Pojawon Prayurnprohm Lawanprasert,มหาวิทยาลัยมหิดล,Mahidol University,เภสัชอุตสาหกรรม,29.0,4.0,29.0,2.0,11.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พจี ยุวชิต,,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,ภาษาอังกฤษ,,,,,,ปริญญาเอก,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
รองศาสตราจารย์,ดร. พชร เพ็ชรประดับ,Patchara Pedpradab,มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,Rajamangala University of Technology Srivijaya,วิทยาศาสตร์ทางทะเล,121.0,10.0,87.0,7.0,30.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พนมพร เผ่าเจริญ,,มหาวิทยาลัยราชภัฏนครสวรรค์,Nakhon Sawan Rajabhat University,การศึกษา,,,,,,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พนอเนื่อง สุทัศน์ ณ อยุธยา,,มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา,Bansomdejchaopraya Rajabhat University and Princess of Naradhiwas University,ภาษาอังกฤษ,,,,,,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พนัส ธรรมกีรติวงศ์,Panas Tumkiratiwong,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University,สัตววิทยา,33.0,7.0,33.0,4.0,24.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พนาลี ชีวกิดาการ,Panalee Chevakidagarn,มหาวิทยาลัยสงขลานครินทร์,Prince of Songkla University,วิศวกรรมสิ่งแวดล้อม,26.0,8.0,25.0,3.0,8.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พนิดา ซิมาภรณ์,,มหาวิทยาลัยธรรมศาสตร์,Thammasart University,-,,,,,,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พนิตสุภา ธรรมประมวล,,มหาวิทยาลัยราชภัฏเทพสตรี,Thepsatri Rajabhat University,บริหารธุรกิจ,,,,,,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พนิษฐา พานิชาชีวะกุล,Panitha Panichacheewakul,มหาวิทยาลัยขอนแก่น,Khon Kaen University,การพยาบาล,5.0,3.0,5.0,1.0,5.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พยงค์ วณิเกียรติ,Payong Wanikiat,มหาวิทยาลัยมหิดล,Mahidol University,เภสัชวิทยา,222.0,8.0,222.0,6.0,25.0,ปริญญาเอก,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
รองศาสตราจารย์,ดร. พยอม วงศ์สารศรี,,มหาวิทยาลัยราชภัฏสวนดุสิต,Suan Dusit University,วิทยาการจัดการ,,,,,,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พรกมล ไตรวิทยางกูร,,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,เศรษฐศาสตร์,,,,,,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พรงาม เดชเกรียงไกรกุล,,มหาวิทยาลัยเชียงใหม่,Chiang Mai University,-,,,,1.0,,ปริญญาเอก,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
รองศาสตราจารย์,ดร. พรจันทร์ สายทองดี,,มหาวิทยาลัยมหิดล,Mahidol University,กายวิภาคศาสตร์,,,,,,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พรจิต สมบัติพานิช,,มหาวิทยาลัยธรรมศาสตร์,Thammasart University,-,,,,,,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พรชนก คัมภีรยส ดูเวนเบิร์ค,Phornchanok Cumperayot,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,เศรษฐศาสตร์,56.0,4.0,56.0,3.0,3.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พรชนก ทองลาด,,มหาวิทยาลัยราชภัฏลำปาง,Lampang Rajabhat University,การบัญชี,,,,,,ปริญญาเอก,ข้าราชการ
ศาสตราจารย์,ดร. พรชัย ชุนหจินดา,Pornchai Chunhachinda,มหาวิทยาลัยธรรมศาสตร์,Thammasart University,การเงิน(ระหว่างประเทศ),240.0,9.0,237.0,3.0,12.0,ปริญญาเอก,ข้าราชการ
ศาสตราจารย์,ดร. พรชัย ทรัพย์นิธิ,Pornchai Supnithi,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,King Mongkut's Institute of Technology Ladkrabang,วิศวกรรมโทรคมนาคม,563.0,136.0,474.0,12.0,151.0,ปริญญาเอก,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
รองศาสตราจารย์,ดร. พรชัย พฤกษ์ภัทรานนต์,Pornchai Phukpattaranont,มหาวิทยาลัยสงขลานครินทร์,Prince of Songkla University,วิศวกรรมไฟฟ้า,1818.0,114.0,1435.0,18.0,92.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พรชัย ราชตนะพันธุ์,Pornchai Rachtanapun,มหาวิทยาลัยเชียงใหม่,Chiang Mai University,เทคโนโลยีการบรรจุ,1002.0,62.0,834.0,15.0,101.0,ปริญญาเอก,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
รองศาสตราจารย์,ดร. พรชัย ล้อวิลัย,Pornchai Lowilai,มหาวิทยาลัยขอนแก่น,Khon Kaen University,สัตวศาสตร์,2.0,2.0,2.0,1.0,5.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พรชัย สถิรปัญญา,Pornchai Sathirapanya,มหาวิทยาลัยสงขลานครินทร์,Prince of Songkla University,อายุรศาสตร์,365.0,41.0,358.0,12.0,495.0,ปริญญาเอก,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
รองศาสตราจารย์,ดร. พรชัย สาตรวาหา,,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,คณิตศาสตร์,,,,1.0,,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พรชัย หนูแก้ว,Pornchai Nookaew,มหาวิทยาลัยราชภัฏกาญจนบุรี,Kanchanaburi Rajabhat University,การประเมินผลและวิจัยการศึกษา,0.0,2.0,0.0,0.0,3.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พรชัย เหลืองอาภาพงศ์,,มหาวิทยาลัยเชียงใหม่,Chiang Mai University,พืชไร่,,,,,,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พรชุลี อาชวอำรุง,,มหาวิทยาลัยนเรศวร,Naresuan University,อุดมศึกษา,,,,,,ปริญญาเอก,ลูกจ้างชั่วคราว (สถาบันอุดมศึกษาของรัฐ)
รองศาสตราจารย์,ดร. พรทิพภา เล็กเจริญสุข,Porntippa Lekcharoensuk,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University,จุลชีววิทยาและวิทยาภูมิคุ้มกันทางสัตวแพทย์,715.0,41.0,635.0,12.0,117.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พรทิพย์ ชัยมณี,Porntip Chaimanee,มหาวิทยาลัยศิลปากร,Silapakorn University,ชีวเคมี,45.0,7.0,39.0,5.0,6.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พรทิพย์ ประพันธ์พจน์,Porntip Prapunpoj,มหาวิทยาลัยสงขลานครินทร์,Prince of Songkla University,ชีวเคมี,294.0,21.0,172.0,9.0,21.0,ปริญญาเอก,ข้าราชการ
ศาสตราจารย์,ดร. พรทิพย์ ปิ่นละออ,Porntip Pinlaor,มหาวิทยาลัยขอนแก่น,Khon Kaen University,-,1153.0,57.0,867.0,20.0,132.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พรทิพย์ พิมลสินธุ์,,มหาวิทยาลัยธรรมศาสตร์,Thammasart University,ประชาสัมพันธ์,,,,,,ปริญญาเอก,ต่ออายุราชการ
รองศาสตราจารย์,ดร. พรทิพย์ วงศ์แก้ว,Porntip Wongkaew,มหาวิทยาลัยขอนแก่น,Khon Kaen University,สรีรวิทยาโรคพืช,164.0,10.0,138.0,4.0,30.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พรทิพย์ ศุภวิไล,Porntip Supavilai,มหาวิทยาลัยมหิดล,Mahidol University,เภสัชวิทยา,1400.0,41.0,1193.0,23.0,70.0,ปริญญาเอก,ต่ออายุราชการ
รองศาสตราจารย์,ดร. พรทิพย์ เพ็ชรมิตร,Porntip Chavalitshewinkoon-Petmitr,มหาวิทยาลัยมหิดล,Mahidol University,พยาธิโปรโตซัว,680.0,46.0,620.0,13.0,118.0,ปริญญาเอก,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
รองศาสตราจารย์,ดร. พรธิภา องค์คุณารักษ์,Pornthipa Ongkunaruk,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University,เทคโนโลยีอุตสาหกรรมเกษตร,218.0,25.0,197.0,6.0,24.0,ปริญญาเอก,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
รองศาสตราจารย์,ดร. พรพจน์ เปี่ยมสมบูรณ์,Pornpote Piumsomboon,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย,Mahachulalongkornrajavidyalaya University,เคมีวิศวกรรม,1299.0,91.0,997.0,19.0,100.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พรพรต ลิ้มประเสริฐ,Pornprot Limprasert,มหาวิทยาลัยสงขลานครินทร์,Prince of Songkla University,พยาธิวิทยา,679.0,44.0,596.0,11.0,160.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พรพรรณ จันทโรนานนท์,,มหาวิทยาลัยหัวเฉียวเฉลิมพระเกียรติ,Huachiew Chalermprakiet University,ภาษาไทยและภาษาตะวันออก,,,,,,ปริญญาเอก,อาจารย์มหาวิทยาลัยเอกชน
รองศาสตราจารย์พิเศษ,ดร. พรพรรณ พึ่งโพธิ์,Pornpan Pungpo,มหาวิทยาลัยอุบลราชธานี,Ubon Ratchathani University,เคมี,333.0,32.0,276.0,9.0,71.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พรพรหม ชมงาม,,มหาวิทยาลัยกรุงเทพ,Bangkok University,นิเทศศาสตร์,,,,,,ปริญญาเอก,อาจารย์มหาวิทยาลัยเอกชน
รองศาสตราจารย์,ดร. พรพิพัฒน์ เพิ่มผล,,มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา,Bansomdejchaopraya Rajabhat University and Princess of Naradhiwas University,การศึกษา,,,,,,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พรพิมล กองทิพย์,Pornpimol Kongtip,มหาวิทยาลัยมหิดล,Mahidol University,อาชีวอนามัยและความปลอดภัย,244.0,41.0,221.0,8.0,80.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พรพิมล ฉายรัศมี,Pornpimon Chayratsami,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,King Mongkut's Institute of Technology Ladkrabang,ครุศาสตร์วิศวกรรม,34.0,13.0,32.0,4.0,8.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พรพิมล พฤกษ์ประเสริฐ,Pornpimol Pruekprasert,มหาวิทยาลัยสงขลานครินทร์,Prince of Songkla University,กุมารเวชศาสตร์,232.0,21.0,224.0,8.0,40.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พรพิมล ม่วงไทย,,มหาวิทยาลัยศรีนครินทรวิโรฒ,Srinakharinwirot University,เคมี,,,,,,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พรพิมล รงค์นพรัตน์,Pornpimol Rongnoparut,มหาวิทยาลัยมหิดล,Mahidol University,ชีวเคมี,867.0,47.0,641.0,18.0,82.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พรพิมล สุริยจันทราทอง,,มหาวิทยาลัยอุบลราชธานี,Ubon Ratchathani University,พืชสวน,,,,,,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พรรณจิรา วงศ์สวัสดิ์,Punchira Vongsawasdi,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,King Mongkut’s University of Technology Thonburi,วิทยาศาสตร์และเทคโนโลยีทางอาหาร,50.0,9.0,48.0,5.0,16.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พรรณทิพย์ ศิริวรรณบุศย์,,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,จิตวิทยา,,,,,,ปริญญาเอก,ต่ออายุราชการ
รองศาสตราจารย์,ดร. พรรณธิภา ณ เชียงใหม่,Pantipa Na Chiangmai,มหาวิทยาลัยศิลปากร,Silapakorn University,เทคโนโลยีการผลิตพืช,2.0,3.0,2.0,1.0,7.0,ปริญญาเอก,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
รองศาสตราจารย์,ดร. พรรณนภา ศักดิ์สูง,Panapa Saksoong,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University,พันธุศาสตร์,12.0,2.0,12.0,1.0,7.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พรรณนิกา ฤตวิรุฬห์,Pannika Niumsup Ritvirool,มหาวิทยาลัยนเรศวร,Naresuan University,จุลชีววิทยา,529.0,35.0,464.0,14.0,118.0,ปริญญาเอก,ข้าราชการ
รองศาสตราจารย์,ดร. พรรณนิภา รอดวรรณะ,,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,การบัญชี,,,,,,ปริญญาเอก,พนักงานราชการ (สถาบันอุดมศึกษาของรัฐ)
